emp_no,first_name,last_name,title,from_date,birth_date
244873,Arunachalam,Oppitz,Senior Staff,1994-05-20,1965-01-04
418717,Arunachalam,Magliocco,Senior Staff,1992-12-22,1965-01-20
239706,Arunas,Bugrara,Assistant Engineer,1997-04-03,1965-01-15
52639,Arup,Colorni,Senior Staff,1996-02-05,1965-01-09
204246,Arve,Worfolk,Senior Staff,1990-04-01,1965-01-09
432261,Arve,Bergere,Senior Engineer,1994-07-28,1965-01-30
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,1965-01-09
418298,Arvin,Pusterhofer,Senior Engineer,2002-03-02,1965-01-08
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,1965-01-17
35642,Ashish,Talmon,Senior Engineer,2002-06-13,1965-01-30
294527,Ashish,Candan,Senior Staff,1992-02-02,1965-01-04
216573,Ashish,Vidya,Senior Engineer,1995-06-16,1965-01-29
32552,Atreye,Stanger,Engineer,1999-09-10,1965-01-17
52599,Augustine,Mungall,Senior Engineer,1996-08-30,1965-01-25
420681,Atilio,Rajala,Technique Leader,1999-12-01,1965-01-10
276445,Atilio,Randi,Senior Engineer,1994-07-02,1965-01-27
64532,Atilio,Segond,Senior Engineer,1996-11-28,1965-01-23
275801,Ayakannu,Heinisuo,Senior Staff,1986-06-28,1965-01-22
97661,Avishai,Hegner,Senior Staff,2002-05-08,1965-01-31
473940,Avishai,Majewski,Engineer,1998-01-10,1965-01-16
249433,Ayonca,Matzov,Senior Engineer,1997-06-03,1965-01-16
106710,Babette,Anandan,Senior Staff,1993-11-22,1965-01-31
84029,Babette,Eugenio,Staff,1997-09-21,1965-01-27
90211,Bader,Denis,Engineer,1997-10-06,1965-01-15
429040,Bader,Detkin,Staff,1993-10-24,1965-01-22
222616,Badri,Schapire,Assistant Engineer,1998-01-19,1965-02-01
109278,Bangqing,Schach,Senior Staff,1996-03-22,1965-01-21
49477,Baocai,Leaver,Senior Staff,1998-08-05,1965-01-14
499495,Baoqiu,Kakkar,Engineer,1999-08-30,1965-01-14
232697,Barry,Ramsak,Senior Engineer,1999-09-07,1965-01-23
264167,Baoqiu,Tomescu,Senior Engineer,1996-05-01,1965-01-25
469253,Baruch,Basawa,Senior Engineer,2001-09-17,1965-01-17
22455,Barry,Unno,Senior Staff,1999-11-16,1965-01-06
73903,Bartek,Cappello,Engineer,1988-07-28,1965-01-29
452196,Bartek,Snyers,Senior Staff,1992-01-14,1965-01-17
429532,Bartek,Vendrig,Senior Staff,1996-11-11,1965-01-25
404788,Basem,Beausoleil,Engineer,1998-03-16,1965-01-16
471552,Basem,Lortz,Staff,1997-10-25,1965-01-22
207551,Baziley,Falck,Assistant Engineer,1995-02-18,1965-01-15
451275,Bedrich,Isard,Senior Staff,1986-06-07,1965-01-25
233785,Baziley,Ballarin,Senior Staff,1995-07-28,1965-01-30
468773,Baziley,Brookner,Senior Engineer,1999-09-22,1965-01-27
60845,Bedir,Siegrist,Engineer,1997-05-13,1965-01-14
70780,Behnaam,Angelov,Assistant Engineer,1995-01-29,1965-01-27
288893,Bedrich,Rosenbaum,Senior Engineer,1998-01-27,1965-01-30
286452,Behnaam,Bierbaum,Engineer,1999-01-31,1965-01-26
464526,Berna,Comellas,Staff,1995-09-07,1965-01-02
236559,Berna,Nanard,Senior Engineer,1989-08-20,1965-01-20
94131,Bernardo,Vasanthakumar,Staff,1997-05-01,1965-01-29
457489,Berna,Ranst,Senior Engineer,1992-05-14,1965-01-24
444643,Berna,Schonegge,Staff,1998-06-28,1965-01-18
414543,Bernd,Anick,Senior Engineer,1988-11-19,1965-01-03
443632,Bernd,Conia,Staff,1999-11-25,1965-01-10
292515,Bernd,Thummel,Engineer,1998-08-03,1965-01-04
261662,Berni,Assaf,Senior Staff,1989-09-08,1965-01-11
37592,Berni,Stranks,Engineer,1985-11-05,1965-02-01
453644,Berni,Takkinen,Senior Staff,1997-06-08,1965-01-07
17206,Berry,DeMori,Senior Engineer,1998-12-27,1965-01-02
229098,Berry,Yurek,Senior Staff,1995-08-16,1965-01-08
435305,Berthier,Pramanik,Senior Staff,1999-01-23,1965-01-21
230126,Bezalel,Radivojevic,Senior Staff,1995-07-03,1965-01-31
26617,Berto,Bruckman,Engineer,1991-11-23,1965-01-06
494978,Bezalel,Himler,Staff,1999-07-09,1965-01-23
256837,Bezalel,Jording,Staff,1991-01-16,1965-01-10
251645,Bezalel,Tsunoo,Senior Staff,2001-06-17,1965-01-06
466509,Bezalel,Verhoeff,Senior Engineer,1993-03-22,1965-01-26
408435,Bikash,Vilarrasa,Staff,1999-03-26,1965-01-18
41137,Bikash,Buchter,Senior Staff,1992-11-22,1965-01-20
228554,Bilhanan,Brendel,Senior Staff,1990-12-23,1965-01-03
242500,Bingning,Iisaku,Senior Staff,1997-06-26,1965-01-08
239748,Bilhanan,Dusink,Senior Staff,1996-06-04,1965-01-23
26476,Bilhanan,Karcich,Staff,1996-04-09,1965-01-19
477969,Bluma,Mundy,Senior Engineer,2000-10-17,1965-01-18
241872,Bluma,Fetvedt,Senior Staff,1997-02-02,1965-01-11
450510,Boalin,Tramer,Staff,1992-04-13,1965-01-25
466745,Boalin,Birsak,Senior Staff,2000-10-15,1965-01-26
244624,Boaz,Seuren,Senior Staff,1994-03-27,1965-01-31
278239,Boaz,Bottner,Staff,1994-02-06,1965-01-19
53874,Bodo,Schade,Senior Staff,1995-02-14,1965-01-23
264939,Bogdan,Bahi,Senior Engineer,1992-02-10,1965-01-10
400796,Bodo,Halevi,Engineer,1996-05-30,1965-01-10
433059,Bojan,Montresor,Staff,1995-02-04,1965-01-02
489465,Bogdan,Pepe,Engineer,1995-02-15,1965-01-17
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,1965-01-30
417435,Bouchung,Zaumen,Senior Staff,1999-01-29,1965-01-03
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,1965-01-12
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,1965-01-30
297008,Boutros,Awdeh,Staff,1985-11-07,1965-01-20
54800,Breannda,Cangellaris,Staff,2000-01-27,1965-01-13
243018,Bowen,Deverell,Senior Staff,1998-12-27,1965-01-02
83509,Breannda,Collavizza,Senior Engineer,1994-10-12,1965-01-04
237289,Brendon,Fritzsche,Staff,1998-01-19,1965-01-24
488540,Breannda,Maquelin,Senior Staff,1996-04-12,1965-01-22
90116,Brigham,Luiz,Assistant Engineer,1990-04-10,1965-01-11
435042,Brigham,Borstler,Staff,1995-10-09,1965-01-10
498185,Caolyn,Marciano,Senior Engineer,1999-06-06,1965-01-19
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,1965-01-29
20313,Candida,Benveniste,Engineer,1999-01-20,1965-01-24
282699,Candida,Felcyn,Engineer,1995-08-04,1965-01-28
294857,Caolyn,Ozeri,Senior Engineer,1993-07-29,1965-01-15
278386,Caolyn,Poujol,Technique Leader,1995-12-03,1965-01-15
14158,Caolyn,Setiz,Senior Staff,1996-02-06,1965-01-22
241100,Cedric,Molenaar,Senior Engineer,1999-10-06,1965-01-23
71334,Cathie,Peck,Senior Engineer,1998-04-12,1965-01-15
297431,Cathie,Ratnakar,Senior Staff,1996-06-23,1965-01-12
233690,Cedric,Riefers,Engineer,1994-09-08,1965-01-17
39036,Changho,Cappelli,Staff,1996-05-04,1965-01-08
231671,Chandrasekaran,Pearson,Staff,1995-04-14,1965-01-07
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,1965-01-31
65013,Chandrasekaran,Peral,Senior Engineer,1992-02-29,1965-01-03
488414,Changho,Gaughan,Engineer,1987-06-21,1965-01-10
424685,Changho,Veevers,Senior Staff,1997-03-03,1965-01-10
450934,Chanjung,Raoux,Senior Engineer,1998-05-25,1965-01-23
252185,Chaosheng,Conta,Engineer,2002-04-14,1965-01-01
207779,Chinya,Kamble,Senior Staff,1992-05-31,1965-01-16
469805,Chaosheng,Shobatake,Senior Staff,1999-07-03,1965-01-21
438723,Charlene,Verspoor,Engineer,2000-03-16,1965-01-12
491596,Charmane,Pargas,Senior Engineer,1993-07-29,1965-01-21
296428,Charmane,Simmen,Senior Staff,1997-03-07,1965-01-03
282862,Chenxi,Pusterhofer,Staff,1996-06-02,1965-01-30
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,1965-01-09
109547,Chenye,Zizka,Senior Staff,1994-02-22,1965-01-04
428235,Chenyi,Demian,Senior Engineer,1988-06-29,1965-01-17
27150,Chenyi,Plump,Staff,1992-06-23,1965-01-06
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,1965-01-09
52038,Chikako,Armand,Senior Engineer,1985-05-18,1965-01-13
262210,Chinho,Bottner,Senior Engineer,1999-07-30,1965-01-22
441536,Chinho,Collette,Senior Engineer,1990-08-07,1965-01-10
414714,Chinho,Delgrande,Senior Staff,1996-11-07,1965-01-06
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,1965-01-31
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,1965-01-28
69878,Chinya,Cooke,Engineer,1997-01-29,1965-01-24
448918,Chiradeep,Arlazarov,Senior Engineer,1998-10-06,1965-01-23
85414,Chiradeep,Callaway,Staff,1999-07-30,1965-01-14
453688,Chinya,Leslie,Engineer,1995-10-28,1965-01-24
247612,Chiranjit,Constantine,Engineer,1997-05-25,1965-01-04
76178,Chiradeep,Meriste,Senior Engineer,1988-05-23,1965-01-19
223595,Chiranjit,Dredge,Technique Leader,1999-09-05,1965-02-01
295411,Chiranjit,Serot,Staff,1997-04-04,1965-01-18
279791,Chiranjit,Lyonns,Engineer,1995-12-24,1965-01-10
51036,Chriss,Fasbender,Staff,1995-05-23,1965-01-29
443108,Christfried,Atrawala,Senior Staff,1990-07-13,1965-01-14
203697,Claude,Kemmerer,Engineer,1994-01-16,1965-01-27
20500,Christoph,Trystram,Senior Staff,1998-10-15,1965-01-30
475538,Christophe,Leaver,Staff,1998-10-31,1965-01-15
200267,Chuanti,Luff,Senior Staff,2000-09-20,1965-01-08
92841,Claude,Candan,Senior Staff,1993-08-04,1965-01-22
441965,Claudi,Heijenga,Senior Staff,1994-08-30,1965-01-12
33606,Clyde,Swift,Staff,1994-11-14,1965-01-02
294446,Claudi,Ruemmler,Staff,1999-08-13,1965-01-27
212361,Claudi,Stanfel,Senior Engineer,2001-01-06,1965-01-16
435370,Conal,Basart,Senior Staff,1991-05-17,1965-01-16
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,1965-01-15
259619,Conal,Magliocco,Senior Staff,1992-05-09,1965-01-21
415363,Conal,Shackell,Senior Staff,1993-01-25,1965-01-19
89161,Conal,Yetto,Senior Staff,1999-01-12,1965-01-07
423327,Constantijn,Lichtman,Senior Staff,2001-06-26,1965-01-27
87783,Conor,Thorensen,Senior Engineer,1988-02-24,1965-01-26
39268,Constantijn,Awdeh,Engineer,1987-10-20,1965-01-10
291349,Constantijn,Rusterholz,Staff,1998-08-28,1965-01-19
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,1965-01-20
288563,Cristinel,Gerlach,Senior Engineer,2001-01-08,1965-01-02
283138,Cullen,Mikschl,Senior Staff,1990-01-16,1965-01-19
450817,DAIDA,Frolund,Senior Engineer,1996-07-16,1965-01-10
499260,Danae,Honglei,Engineer,1998-09-14,1965-01-11
446424,DAIDA,Nooteboom,Senior Engineer,1992-11-24,1965-01-16
401154,Danae,Kragelund,Senior Staff,1993-05-19,1965-01-27
426235,Danco,Rajala,Senior Staff,1996-03-28,1965-01-31
263186,Danny,Lowrie,Technique Leader,1995-09-13,1965-01-22
496978,Danco,Debuse,Senior Staff,1998-09-10,1965-01-30
424569,Danco,Luff,Engineer,1997-10-30,1965-01-14
418309,Danel,Petereit,Senior Engineer,1994-02-21,1965-01-24
447018,Dannz,Miara,Senior Engineer,2000-12-04,1965-01-17
24421,Dannz,Grospietsch,Senior Engineer,1990-09-01,1965-01-10
61377,Dannz,Ohori,Senior Staff,1994-01-17,1965-01-01
414814,Dayanand,Wielonsky,Staff,1999-02-15,1965-01-28
209565,Dante,Covnot,Senior Staff,1998-05-28,1965-01-09
461723,Deborah,Basawa,Assistant Engineer,1991-04-30,1965-01-02
409798,Dekang,Tsunoo,Technique Leader,1995-01-19,1965-01-15
403621,Deborah,Kaminger,Senior Staff,1997-06-04,1965-01-07
220029,Demos,Asser,Senior Engineer,1985-11-04,1965-01-17
18187,Denis,Falster,Staff,1998-12-21,1965-01-08
66702,Deniz,Thibadeau,Senior Engineer,2000-09-26,1965-02-01
488142,Denis,Narlikar,Senior Staff,1997-06-30,1965-01-05
84256,Denny,Cheshire,Staff,1989-11-23,1965-01-25
79239,Denny,Griswold,Senior Engineer,1989-05-18,1965-01-07
299718,Denny,Shobatake,Senior Staff,2002-06-22,1965-01-15
202581,Dharmaraja,Merlo,Staff,1987-06-05,1965-01-19
14075,Denny,Tchuente,Engineer,1998-05-30,1965-01-03
99590,Dhritiman,Anily,Staff,1998-12-16,1965-01-24
105356,Diederik,Matzov,Senior Engineer,1996-05-12,1965-01-29
230689,Dietrich,Crabtree,Senior Staff,1986-05-24,1965-01-14
435602,Dietrich,Kranzdorf,Senior Staff,2001-10-04,1965-01-29
200735,Dinah,Denos,Senior Staff,2001-09-21,1965-01-09
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,1965-01-12
263325,Dinkar,Sinicrope,Staff,1985-07-12,1965-01-19
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,1965-01-23
296664,Dipayan,Geffroy,Senior Engineer,1987-09-17,1965-01-31
31147,Divine,Sidhu,Senior Staff,1989-07-05,1965-01-04
409898,Divier,Ishibashi,Senior Engineer,1994-09-22,1965-02-01
251341,Divier,Kumaresan,Senior Staff,1998-12-05,1965-01-11
221435,Djenana,Marrevee,Senior Engineer,2000-02-06,1965-01-06
81644,Divine,Ghandeharizadeh,Staff,1997-11-28,1965-01-05
273159,Divine,Hofmeyr,Technique Leader,1989-04-14,1965-01-26
103196,Djenana,Albarhamtoshy,Senior Staff,1993-07-16,1965-01-16
478218,Djenana,Erol,Engineer,1999-01-31,1965-01-02
447191,Dmitri,Rousseau,Engineer,1995-06-19,1965-01-17
91648,Dmitry,Msuda,Senior Staff,1997-10-22,1965-01-29
249504,Dmitry,Velardi,Senior Engineer,2000-02-29,1965-01-07
71066,Domenick,Basart,Senior Staff,2001-01-04,1965-01-27
66382,Domenico,Candan,Engineer,1997-07-13,1965-01-04
103172,Doowon,Highland,Senior Engineer,1995-03-09,1965-01-05
211858,Domenico,Ratnaker,Senior Engineer,1993-03-24,1965-01-08
270792,Domenico,Wendorf,Engineer,1988-09-08,1965-02-01
476361,Doohun,Preusig,Technique Leader,1985-04-13,1965-01-09
440325,Douadi,Sullins,Senior Staff,1999-09-25,1965-01-10
478170,Doowon,Schoegge,Engineer,2001-05-29,1965-01-22
45162,Dulce,Speel,Senior Engineer,1996-10-18,1965-01-11
482944,Duke,Journel,Senior Staff,1997-10-25,1965-01-26
256078,Duke,Picaronny,Staff,1995-03-23,1965-01-20
66530,Dung,Leaver,Staff,1998-04-04,1965-01-29
229364,Dulce,Magliocco,Staff,1987-02-13,1965-01-07
410372,Duri,Mitina,Senior Engineer,1995-03-04,1965-01-08
483978,Dung,Tanemo,Senior Staff,1995-01-28,1965-01-24
284561,Duri,Beznosov,Senior Engineer,1988-02-15,1965-01-03
260501,Dzung,Pargas,Technique Leader,1990-05-17,1965-01-14
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,1965-01-06
295268,Eben,Calkin,Senior Staff,2001-12-19,1965-01-28
84236,Eberhardt,Barriga,Senior Staff,1993-06-03,1965-01-18
53314,Eberhardt,Carrera,Staff,1999-02-23,1965-01-06
404573,Eberhardt,Spelt,Staff,1997-07-05,1965-01-31
291755,Ebru,Doering,Assistant Engineer,1994-08-27,1965-01-29
445950,Ebru,Valtorta,Senior Engineer,1997-12-09,1965-01-23
47708,Edwin,Haldar,Senior Staff,1995-07-12,1965-01-05
487988,Ekawit,Schaft,Senior Staff,1999-05-20,1965-01-05
445067,Eldridge,Kawashima,Senior Engineer,1997-02-27,1965-01-28
450371,Eldridge,Pargaonkar,Senior Engineer,1998-08-03,1965-01-21
34788,Ennio,Babu,Senior Engineer,1994-08-31,1965-01-27
414551,Elliott,Copas,Senior Engineer,1999-09-13,1965-01-22
287334,Elliott,Speer,Engineer,1998-08-08,1965-01-05
413554,Elvia,Schwartzburd,Engineer,1991-10-16,1965-01-20
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,1965-01-24
60238,Erzsebet,Claffy,Staff,1997-03-03,1965-01-23
437724,Erez,Luft,Staff,1994-12-14,1965-01-17
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,1965-01-10
232178,Etsuo,Anandan,Senior Staff,1996-12-13,1965-01-29
409712,Etsuo,Andreotta,Senior Engineer,2000-03-28,1965-01-23
233426,Etsuo,Usery,Senior Engineer,2000-03-01,1965-01-12
430054,Erzsebet,Setiz,Senior Engineer,1998-06-10,1965-01-22
479024,Ewing,Kalorkoti,Engineer,1996-12-21,1965-01-03
229727,Ewing,Millington,Engineer,1999-09-28,1965-01-23
453760,Ewing,Rajala,Senior Staff,2001-06-21,1965-01-13
78086,Fabrizio,Anick,Staff,1997-12-16,1965-01-20
415234,Ewing,Baak,Engineer,1993-10-05,1965-01-28
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,1965-01-23
229220,Fabrizio,Lichtman,Senior Engineer,1992-02-09,1965-01-21
203599,Ewing,DiGiano,Technique Leader,2000-02-01,1965-01-21
453790,Fai,Keirsey,Senior Engineer,1999-10-12,1965-01-11
440937,Fabrizio,Usery,Senior Staff,1999-10-14,1965-01-18
289687,Fai,Maccarone,Senior Staff,1993-10-30,1965-01-31
291669,Faiza,Bach,Engineer,1999-09-13,1965-01-04
402223,Fai,Breugel,Staff,1995-02-27,1965-01-30
64431,Faiza,Zongker,Technique Leader,1995-12-10,1965-01-25
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,1965-01-22
27699,Falguni,Pezzoli,Engineer,1996-12-23,1965-01-15
452365,Fei,Gadepally,Engineer,1997-11-13,1965-01-05
201709,Fan,Kakkad,Senior Staff,1993-02-24,1965-01-01
265875,Fan,Marsiglia,Senior Engineer,1997-09-03,1965-01-20
282894,Fay,Bellmore,Senior Engineer,1998-05-03,1965-01-05
446121,Fay,Cochrane,Staff,1999-12-13,1965-01-11
233397,Fay,Sundgren,Senior Staff,1998-07-07,1965-01-16
497340,Fayez,Keohane,Senior Staff,1990-09-19,1965-01-06
79895,Fei,Murtagh,Senior Staff,1986-01-19,1965-01-30
436915,Feixiong,Haraldson,Staff,1998-10-11,1965-01-13
471532,Feiyu,Decleir,Technique Leader,1998-09-13,1965-01-17
427332,Feiyu,Hemaspaandra,Staff,1995-06-04,1965-01-20
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,1965-01-26
435289,Feixiong,Schurmann,Senior Staff,1993-02-14,1965-01-04
36626,Fen,Genin,Senior Staff,1986-05-09,1965-01-02
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,1965-01-28
85216,Ferdinand,Rosiles,Senior Staff,1997-07-08,1965-01-18
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,1965-01-05
229207,Filipe,Erol,Senior Engineer,1997-07-11,1965-01-30
17970,Filipp,Carrere,Technique Leader,1989-01-09,1965-01-06
49017,Filipp,Flanders,Senior Engineer,1999-11-26,1965-01-07
440870,Filipp,Hasham,Senior Staff,1999-07-11,1965-01-01
432665,Flemming,Driscoll,Senior Engineer,1999-06-28,1965-01-02
215419,Flemming,Kroha,Staff,1995-01-23,1965-01-16
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,1965-01-19
498635,Florian,Pezzoli,Senior Staff,1997-07-22,1965-01-09
245164,Filipp,Winter,Senior Engineer,2001-10-24,1965-01-23
457776,Florian,Siepmann,Senior Engineer,1996-12-20,1965-01-15
